date,stock_code,stock_name,shares,weight
2026-05-25,2330,台積電,483244810,0.0
2026-05-25,2317,鴻海,241342780,0.0
2026-05-25,3711,日月光投控,65138725,0.0
2026-05-25,2308,台達電,38416236,0.0
2026-05-25,2454,聯發科,29099562,0.0
2026-05-25,1738,商品數量,202606,0.0
2026-05-25,0050,產品內頁,50,0.0
2026-05-24,3711,日月光投控,19546020,19.55
2026-05-24,2327,國巨,12517490,12.52
2026-05-24,2454,聯發科,12423200,12.43
2026-05-24,2603,長榮,10001240,10.0
2026-05-24,2882,國泰金,9855329,9.85
2026-05-24,2891,中信金,9197650,9.2
2026-05-24,2330,台積電,9004280,9.0
2026-05-24,2317,鴻海,7736380,7.74
2026-05-24,2357,華碩,6755230,6.75
2026-05-24,2301,光寶科,2967410,2.96
