date,stock_code,stock_name,shares,weight
2026-07-13,2891,中信金,3238000,0.0
2026-07-13,2881,富邦金,1850025,0.0
2026-07-13,2412,中華電,1719000,0.0
2026-07-13,2303,聯電,1367000,0.0
2026-07-13,2382,廣達,599000,0.0
2026-07-13,2357,華碩,341000,0.0
2026-07-13,4958,未知,307000,0.0
2026-07-13,6446,藥華醫藥,163425,0.0
2026-07-13,6274,台燿,119000,0.0
2026-07-13,2330,台積電,112000,0.0
2026-07-12,2609,陽明,27723590,27.73
2026-07-12,2301,光寶科,12370099,12.37
2026-07-12,3711,日月光投控,11507980,11.5
2026-07-12,2327,國巨,10368469,10.37
2026-07-12,2379,瑞昱,8974520,8.98
2026-07-12,2317,鴻海,8075390,8.07
2026-07-12,3034,聯詠,7841260,7.85
2026-07-12,2881,富邦金,4777459,4.77
2026-07-12,2408,南亞科,3561889,3.57
2026-07-12,2882,國泰金,2491480,2.49
2026-07-12,2357,華碩,2296990,2.3
2026-07-11,3711,日月光投控,14771659,14.78
2026-07-11,2882,國泰金,13965430,13.97
2026-07-11,3034,聯詠,13874740,13.88
2026-07-11,2603,長榮,13508260,13.51
2026-07-11,2330,台積電,10090640,10.1
2026-07-11,2357,華碩,9417200,9.42
2026-07-11,2379,瑞昱,6748310,6.75
2026-07-11,2891,中信金,5373400,5.37
2026-07-11,2609,陽明,3481529,3.48
2026-07-11,2317,鴻海,3312190,3.32
2026-07-11,2382,廣達,2947830,2.95
2026-07-11,2327,國巨,2468000,2.47
2026-07-10,2301,光寶科,29540150,29.54
2026-07-10,3034,聯詠,14584570,14.59
2026-07-10,2454,聯發科,12152600,12.16
2026-07-10,2603,長榮,11209720,11.21
2026-07-10,2891,中信金,11049240,11.04
2026-07-10,2882,國泰金,8801840,8.8
2026-07-10,2408,南亞科,6714860,6.72
2026-07-10,2327,國巨,2994110,2.99
2026-07-10,3711,日月光投控,2955220,2.95
2026-07-09,2609,陽明,29150030,29.16
2026-07-09,2301,光寶科,14511280,14.52
2026-07-09,2891,中信金,11389140,11.39
2026-07-09,2327,國巨,9530809,9.54
2026-07-09,2382,廣達,9499810,9.5
2026-07-09,2881,富邦金,7159940,7.16
2026-07-09,3034,聯詠,6236770,6.23
2026-07-09,2882,國泰金,5663990,5.67
2026-07-09,3711,日月光投控,3435550,3.43
2026-07-09,3231,緯創,3393370,3.4
2026-07-08,2408,南亞科,23391510,23.39
2026-07-08,2301,光寶科,14518660,14.52
2026-07-08,2317,鴻海,13168110,13.16
2026-07-08,2882,國泰金,12942879,12.94
2026-07-08,2603,長榮,12625039,12.62
2026-07-08,2891,中信金,10028880,10.02
2026-07-08,3711,日月光投控,8382020,8.39
2026-07-08,2308,台達電,4968260,4.96
2026-07-07,2379,瑞昱,30020480,30.02
2026-07-07,2301,光寶科,13727200,13.72
2026-07-07,3711,日月光投控,12082650,12.08
2026-07-07,2327,國巨,11180500,11.18
2026-07-07,2317,鴻海,9708170,9.71
2026-07-07,3034,聯詠,8786169,8.78
2026-07-07,2882,國泰金,7730860,7.73
2026-07-07,2603,長榮,4173729,4.18
2026-07-07,2382,廣達,2604740,2.6
2026-07-06,2609,陽明,39891750,39.89
2026-07-06,2408,南亞科,9526740,9.53
2026-07-06,2881,富邦金,8308470,8.31
2026-07-06,2603,長榮,7787810,7.78
2026-07-06,2882,國泰金,7709980,7.7
2026-07-06,3231,緯創,7173790,7.17
2026-07-06,2357,華碩,4919050,4.92
2026-07-06,3711,日月光投控,4791550,4.79
2026-07-06,2379,瑞昱,4053150,4.05
2026-07-06,2301,光寶科,3274009,3.28
2026-07-06,2308,台達電,2588390,2.58
2026-07-05,3231,緯創,13926909,13.92
2026-07-05,2327,國巨,11934670,11.93
2026-07-05,2408,南亞科,10997360,11.0
2026-07-05,2882,國泰金,9249870,9.24
2026-07-05,2357,華碩,9090900,9.09
2026-07-05,2301,光寶科,8827400,8.82
2026-07-05,2603,長榮,8676980,8.68
2026-07-05,3711,日月光投控,8317100,8.31
2026-07-05,2454,聯發科,7273310,7.27
2026-07-05,3034,聯詠,6171410,6.17
2026-07-05,2379,瑞昱,5565790,5.57
2026-07-04,2882,國泰金,46827800,46.83
2026-07-04,3034,聯詠,13133590,13.14
2026-07-04,2881,富邦金,9894420,9.9
2026-07-04,2609,陽明,9008660,9.0
2026-07-04,2408,南亞科,7851030,7.85
2026-07-04,2603,長榮,6801120,6.8
2026-07-04,3231,緯創,4446860,4.44
2026-07-04,2308,台達電,2049450,2.04
2026-07-03,2408,南亞科,31851350,31.86
2026-07-03,2603,長榮,13774940,13.78
2026-07-03,2301,光寶科,11769580,11.76
2026-07-03,2609,陽明,10667590,10.66
2026-07-03,2330,台積電,8797940,8.79
2026-07-03,3711,日月光投控,7843590,7.84
2026-07-03,2327,國巨,7719649,7.72
2026-07-03,2382,廣達,7598149,7.59
2026-07-02,2881,富邦金,14184700,14.19
2026-07-02,2357,華碩,11438950,11.44
2026-07-02,2327,國巨,10732100,10.74
2026-07-02,3034,聯詠,10079960,10.08
2026-07-02,2454,聯發科,9334030,9.34
2026-07-02,2882,國泰金,9153700,9.15
2026-07-02,2301,光寶科,9009940,9.0
2026-07-02,2603,長榮,7869920,7.86
2026-07-02,3231,緯創,5914420,5.92
2026-07-02,2382,廣達,5034040,5.04
2026-07-02,2379,瑞昱,3953779,3.96
2026-07-02,2308,台達電,3277569,3.28
2026-07-01,2454,聯發科,32969740,32.97
2026-07-01,3034,聯詠,14344699,14.35
2026-07-01,3711,日月光投控,11815140,11.81
2026-07-01,2379,瑞昱,10857390,10.85
2026-07-01,2882,國泰金,10830890,10.84
2026-07-01,2603,長榮,9100440,9.1
2026-07-01,2317,鴻海,3993090,3.99
2026-07-01,3231,緯創,3630760,3.64
2026-07-01,2330,台積電,2458290,2.45
2026-06-30,2357,華碩,36800630,36.8
2026-06-30,3711,日月光投控,13984890,13.98
2026-06-30,2881,富邦金,13654340,13.66
2026-06-30,2603,長榮,10752790,10.75
2026-06-30,2382,廣達,8206320,8.21
2026-06-30,2379,瑞昱,7267710,7.26
2026-06-30,2308,台達電,4790380,4.79
2026-06-30,2454,聯發科,4559730,4.55
2026-06-29,2609,陽明,41908010,41.9
2026-06-29,3034,聯詠,14270120,14.27
2026-06-29,2891,中信金,12800640,12.8
2026-06-29,3711,日月光投控,8972670,8.97
2026-06-29,2327,國巨,6671290,6.67
2026-06-29,2603,長榮,5927530,5.92
2026-06-29,2882,國泰金,5763949,5.77
2026-06-29,2454,聯發科,3691370,3.7
2026-06-28,2881,富邦金,14113140,14.12
2026-06-28,3231,緯創,13972150,13.98
2026-06-28,2454,聯發科,13015880,13.01
2026-06-28,2408,南亞科,11604290,11.6
2026-06-28,2308,台達電,10576520,10.57
2026-06-28,2317,鴻海,9524420,9.53
2026-06-28,2382,廣達,7332439,7.34
2026-06-28,2330,台積電,6745740,6.75
2026-06-28,2603,長榮,5110210,5.12
2026-06-28,2882,國泰金,5041380,5.04
2026-06-28,3711,日月光投控,2943270,2.94
2026-06-27,2330,台積電,32693859,32.69
2026-06-27,3711,日月光投控,14869509,14.86
2026-06-27,2891,中信金,9383230,9.39
2026-06-27,3231,緯創,9265270,9.27
2026-06-27,2379,瑞昱,8284969,8.29
2026-06-27,2382,廣達,7496910,7.49
2026-06-27,2327,國巨,6658540,6.66
2026-06-27,2881,富邦金,6452420,6.46
2026-06-27,2301,光寶科,4887790,4.89
2026-06-26,2882,國泰金,14614250,14.61
2026-06-26,2327,國巨,13879980,13.88
2026-06-26,2379,瑞昱,12782480,12.78
2026-06-26,2609,陽明,12586860,12.59
2026-06-26,2881,富邦金,9137520,9.14
2026-06-26,3034,聯詠,8762610,8.77
2026-06-26,2408,南亞科,8505660,8.5
2026-06-26,2308,台達電,8069030,8.06
2026-06-26,2603,長榮,6413850,6.41
2026-06-26,2382,廣達,3102180,3.1
2026-06-26,3711,日月光投控,2163620,2.16
2026-06-25,2454,聯發科,32542809,32.54
2026-06-25,2408,南亞科,13235329,13.24
2026-06-25,2357,華碩,12904480,12.9
2026-06-25,2301,光寶科,11418250,11.42
2026-06-25,2382,廣達,10342130,10.34
2026-06-25,2327,國巨,8434560,8.43
2026-06-25,3034,聯詠,4370030,4.38
2026-06-25,2603,長榮,4054800,4.05
2026-06-25,2882,國泰金,2695910,2.7
2026-06-24,2891,中信金,40093320,40.09
2026-06-24,2882,國泰金,12574100,12.57
2026-06-24,2382,廣達,10478730,10.47
2026-06-24,3034,聯詠,9208940,9.2
2026-06-24,2454,聯發科,8473600,8.47
2026-06-24,2357,華碩,8452870,8.46
2026-06-24,3711,日月光投控,7287610,7.28
2026-06-24,2301,光寶科,3460580,3.46
2026-06-23,2891,中信金,20485440,20.48
2026-06-23,2379,瑞昱,13736190,13.73
2026-06-23,2881,富邦金,12812090,12.82
2026-06-23,2603,長榮,11614800,11.61
2026-06-23,2317,鴻海,10052910,10.05
2026-06-23,2882,國泰金,9371280,9.37
2026-06-23,2301,光寶科,7036070,7.03
2026-06-23,2330,台積電,5952840,5.96
2026-06-23,3034,聯詠,4605530,4.6
2026-06-23,2609,陽明,2333060,2.33
2026-06-23,2408,南亞科,2016680,2.02
2026-06-22,2327,國巨,42957100,42.95
2026-06-22,2603,長榮,14795680,14.79
2026-06-22,2308,台達電,14791170,14.8
2026-06-22,2408,南亞科,14469410,14.47
2026-06-22,2881,富邦金,4969209,4.97
2026-06-22,2379,瑞昱,2967810,2.96
2026-06-22,2382,廣達,2960190,2.96
2026-06-22,2317,鴻海,2091730,2.1
2026-06-21,2408,南亞科,38263770,38.26
2026-06-21,2330,台積電,11023580,11.03
2026-06-21,2881,富邦金,10784480,10.79
2026-06-21,2308,台達電,10293590,10.3
2026-06-21,2301,光寶科,10231860,10.23
2026-06-21,2382,廣達,7577510,7.58
2026-06-21,2357,華碩,6822320,6.82
2026-06-21,2891,中信金,2532810,2.54
2026-06-21,2882,國泰金,2458160,2.45
2026-06-20,2317,鴻海,13514060,13.51
2026-06-20,3231,緯創,12288450,12.29
2026-06-20,2454,聯發科,11486930,11.48
2026-06-20,2881,富邦金,11447129,11.45
2026-06-20,2603,長榮,9341600,9.35
2026-06-20,2327,國巨,8071360,8.08
2026-06-20,3711,日月光投控,7537340,7.53
2026-06-20,2891,中信金,7252070,7.26
2026-06-20,2301,光寶科,5703520,5.71
2026-06-20,3034,聯詠,5409220,5.41
2026-06-20,2357,華碩,4211630,4.21
2026-06-20,2882,國泰金,3716820,3.72
2026-06-19,3711,日月光投控,48216380,48.21
2026-06-19,2408,南亞科,14562810,14.56
2026-06-19,2881,富邦金,11248550,11.25
2026-06-19,2609,陽明,6092280,6.1
2026-06-19,2327,國巨,5154670,5.15
2026-06-19,2382,廣達,4782060,4.79
2026-06-19,2317,鴻海,4160880,4.17
2026-06-19,2379,瑞昱,3347710,3.35
2026-06-19,2603,長榮,2425290,2.42
2026-06-18,2891,中信金,29407360,29.41
2026-06-18,2603,長榮,13318240,13.32
2026-06-18,2382,廣達,12673980,12.68
2026-06-18,2609,陽明,12116249,12.12
2026-06-18,2308,台達電,11507260,11.51
2026-06-18,2882,國泰金,10123980,10.13
2026-06-18,2454,聯發科,8173250,8.18
2026-06-18,3231,緯創,2652690,2.65
2026-06-17,2454,聯發科,13444170,13.44
2026-06-17,2408,南亞科,13329680,13.32
2026-06-17,2603,長榮,12976830,12.98
2026-06-17,3711,日月光投控,10237080,10.24
2026-06-17,2330,台積電,8426700,8.43
2026-06-17,2308,台達電,7461750,7.47
2026-06-17,2881,富邦金,7298470,7.3
2026-06-17,2317,鴻海,6922320,6.92
2026-06-17,3231,緯創,6689160,6.68
2026-06-17,2891,中信金,6046740,6.05
2026-06-17,2327,國巨,4889970,4.89
2026-06-17,2379,瑞昱,2278999,2.28
2026-06-16,3711,日月光投控,13951289,13.95
2026-06-16,2881,富邦金,13859849,13.85
2026-06-16,2308,台達電,13407620,13.41
2026-06-16,2301,光寶科,12200710,12.2
2026-06-16,2454,聯發科,11439330,11.44
2026-06-16,2317,鴻海,9229710,9.23
2026-06-16,3231,緯創,8719580,8.71
2026-06-16,2882,國泰金,7635769,7.63
2026-06-16,2609,陽明,7373300,7.38
2026-06-16,2327,國巨,2192920,2.2
2026-06-15,2330,台積電,22536310,22.53
2026-06-15,2609,陽明,14645540,14.64
2026-06-15,2454,聯發科,12380140,12.39
2026-06-15,2308,台達電,12075140,12.07
2026-06-15,3034,聯詠,11291839,11.29
2026-06-15,2327,國巨,7863310,7.87
2026-06-15,2882,國泰金,7747450,7.75
2026-06-15,3711,日月光投控,6420060,6.43
2026-06-15,2603,長榮,5022990,5.03
2026-06-14,2308,台達電,25481949,25.49
2026-06-14,3231,緯創,13327700,13.33
2026-06-14,3034,聯詠,12277560,12.28
2026-06-14,2609,陽明,12261330,12.26
2026-06-14,2317,鴻海,10896640,10.89
2026-06-14,2891,中信金,10060250,10.06
2026-06-14,2301,光寶科,9948910,9.95
2026-06-14,2454,聯發科,5736730,5.74
2026-06-13,2882,國泰金,14070740,14.07
2026-06-13,2301,光寶科,13019729,13.02
2026-06-13,2603,長榮,12452190,12.45
2026-06-13,2891,中信金,11715850,11.72
2026-06-13,2382,廣達,9941269,9.94
2026-06-13,2330,台積電,9353720,9.35
2026-06-13,2609,陽明,9199200,9.2
2026-06-13,2317,鴻海,7956300,7.95
2026-06-13,2327,國巨,5852330,5.86
2026-06-13,2408,南亞科,3725350,3.72
2026-06-13,2379,瑞昱,2729170,2.72
2026-06-12,2881,富邦金,38578620,38.57
2026-06-12,2882,國泰金,12432970,12.43
2026-06-12,2357,華碩,12120959,12.12
2026-06-12,3711,日月光投控,11622600,11.62
2026-06-12,2382,廣達,8967570,8.96
2026-06-12,2379,瑞昱,7929629,7.92
2026-06-12,2330,台積電,5143809,5.14
2026-06-12,2317,鴻海,3249580,3.24
2026-06-11,2327,國巨,23505000,23.5
2026-06-11,3711,日月光投控,12226700,12.22
2026-06-11,3231,緯創,10019980,10.02
2026-06-11,2891,中信金,9888860,9.89
2026-06-11,2382,廣達,9545170,9.55
2026-06-11,2330,台積電,7855340,7.86
2026-06-11,2882,國泰金,6817590,6.82
2026-06-11,2357,華碩,6236830,6.24
2026-06-11,2603,長榮,5700340,5.7
2026-06-11,2317,鴻海,4944070,4.94
2026-06-11,2881,富邦金,3262589,3.26
2026-06-10,2327,國巨,14789630,14.79
2026-06-10,2317,鴻海,13859029,13.85
2026-06-10,2454,聯發科,13139460,13.13
2026-06-10,2308,台達電,11807300,11.81
2026-06-10,2881,富邦金,10118410,10.11
2026-06-10,3034,聯詠,9215050,9.22
2026-06-10,2379,瑞昱,7823370,7.82
2026-06-10,3231,緯創,7444760,7.45
2026-06-10,2357,華碩,5106610,5.1
2026-06-10,3711,日月光投控,4017169,4.02
2026-06-10,2301,光寶科,2691130,2.7
2026-06-09,2327,國巨,36372930,36.38
2026-06-09,2330,台積電,11049540,11.05
2026-06-09,2881,富邦金,10882300,10.88
2026-06-09,2454,聯發科,10856869,10.86
2026-06-09,3231,緯創,9166100,9.16
2026-06-09,2382,廣達,7438519,7.43
2026-06-09,2301,光寶科,7406740,7.41
2026-06-09,3034,聯詠,6833140,6.83
2026-06-08,2881,富邦金,45770670,45.78
2026-06-08,2454,聯發科,14698270,14.69
2026-06-08,2327,國巨,12244550,12.25
2026-06-08,2408,南亞科,8307770,8.31
2026-06-08,2317,鴻海,6619310,6.61
2026-06-08,2357,華碩,5162600,5.16
2026-06-08,3231,緯創,4518940,4.51
2026-06-08,2609,陽明,2683470,2.69
2026-06-07,2382,廣達,36372990,36.37
2026-06-07,2882,國泰金,14662650,14.67
2026-06-07,2330,台積電,14085250,14.08
2026-06-07,2379,瑞昱,13595820,13.59
2026-06-07,3711,日月光投控,8946660,8.94
2026-06-07,2881,富邦金,4522840,4.52
2026-06-07,2317,鴻海,3059240,3.06
2026-06-07,2327,國巨,2659820,2.66
2026-06-07,2454,聯發科,2108769,2.11
2026-06-06,2382,廣達,14443509,14.45
2026-06-06,2454,聯發科,13401130,13.41
2026-06-06,2891,中信金,13246589,13.24
2026-06-06,2327,國巨,11135130,11.14
2026-06-06,3034,聯詠,8982940,8.98
2026-06-06,2308,台達電,8869809,8.87
2026-06-06,2301,光寶科,8389870,8.38
2026-06-06,2881,富邦金,8148500,8.14
2026-06-06,2379,瑞昱,4575590,4.58
2026-06-06,2317,鴻海,4225299,4.22
2026-06-06,2609,陽明,2409720,2.4
2026-06-06,3711,日月光投控,2191570,2.19
2026-06-05,2330,台積電,56676060,56.68
2026-06-05,2308,台達電,9963000,9.97
2026-06-05,3231,緯創,9815900,9.81
2026-06-05,2301,光寶科,8598340,8.6
2026-06-05,2891,中信金,6845659,6.85
2026-06-05,2454,聯發科,3407700,3.41
2026-06-05,2357,華碩,2393100,2.39
2026-06-05,2317,鴻海,2290560,2.29
2026-06-04,2881,富邦金,41697420,41.7
2026-06-04,2308,台達電,14210000,14.21
2026-06-04,3034,聯詠,11314090,11.32
2026-06-04,3711,日月光投控,10088360,10.09
2026-06-04,2408,南亞科,9643470,9.65
2026-06-04,2603,長榮,5487460,5.49
2026-06-04,2891,中信金,4645780,4.64
2026-06-04,2379,瑞昱,2901650,2.9
2026-06-03,2603,長榮,17655980,17.65
2026-06-03,3034,聯詠,14660250,14.67
2026-06-03,2454,聯發科,14032709,14.03
2026-06-03,2891,中信金,11737940,11.74
2026-06-03,2327,國巨,11607410,11.6
2026-06-03,2382,廣達,11377030,11.37
2026-06-03,2317,鴻海,9208150,9.21
2026-06-03,2330,台積電,6662150,6.66
2026-06-03,2357,華碩,3069430,3.07
2026-05-27,2887,台新金,6940000,0.0
2026-05-27,2891,中信金,3828000,0.0
2026-05-27,2885,元大金,3507000,0.0
2026-05-27,2882,國泰金,2747000,0.0
2026-05-27,2881,富邦金,2638025,0.0
2026-05-27,2303,聯電,2572000,0.0
2026-05-27,3045,台灣大,1851000,0.0
2026-05-27,2382,廣達,968000,0.0
2026-05-27,3036,文曄,663000,0.0
2026-05-27,2330,台積電,138000,0.0
2026-05-26,2379,瑞昱,24662890,24.67
2026-05-26,2891,中信金,13270270,13.28
2026-05-26,2382,廣達,12545439,12.54
2026-05-26,2882,國泰金,8690830,8.7
2026-05-26,2408,南亞科,8585920,8.58
2026-05-26,2317,鴻海,7588450,7.58
2026-05-26,2454,聯發科,6912800,6.92
2026-05-26,3034,聯詠,5410100,5.41
2026-05-26,3711,日月光投控,5058410,5.05
2026-05-26,3231,緯創,3102290,3.11
2026-05-26,2603,長榮,2100300,2.1
2026-05-26,2327,國巨,2063230,2.06
2026-05-25,2379,瑞昱,14321700,14.33
2026-05-25,3231,緯創,13410520,13.41
2026-05-25,2609,陽明,11751820,11.75
2026-05-25,2882,國泰金,11561630,11.56
2026-05-25,2881,富邦金,9669720,9.66
2026-05-25,2382,廣達,9269540,9.27
2026-05-25,2454,聯發科,8419820,8.42
2026-05-25,2330,台積電,6711830,6.72
2026-05-25,2308,台達電,5317550,5.32
2026-05-25,2317,鴻海,3759089,3.76
2026-05-25,2891,中信金,3288110,3.29
2026-05-25,3034,聯詠,2508109,2.51
2026-05-24,2603,長榮,13365070,13.36
2026-05-24,2301,光寶科,13111359,13.12
2026-05-24,2382,廣達,12523740,12.53
2026-05-24,2308,台達電,11930780,11.94
2026-05-24,2330,台積電,11405700,11.4
2026-05-24,3231,緯創,10063690,10.07
2026-05-24,2317,鴻海,8784570,8.79
2026-05-24,2891,中信金,6240880,6.24
2026-05-24,2379,瑞昱,5321900,5.33
2026-05-24,2357,華碩,4625500,4.63
2026-05-24,2882,國泰金,1449710,1.44
2026-05-24,2881,富邦金,1156740,1.15
