date,stock_code,stock_name,shares,weight
2026-08-26,2609,陽明,45342520,45.35
2026-08-26,2301,光寶科,12191300,12.2
2026-08-26,3711,日月光投控,10187609,10.19
2026-08-26,2408,南亞科,9936680,9.93
2026-08-26,2308,台達電,7573770,7.57
2026-08-26,2881,富邦金,5641160,5.65
2026-08-26,2327,國巨,4397630,4.4
2026-08-26,2382,廣達,2674380,2.67
2026-08-26,2317,鴻海,2033640,2.04
2026-08-25,2382,廣達,17367540,17.36
2026-08-25,2603,長榮,13975130,13.97
2026-08-25,3711,日月光投控,12492820,12.49
2026-08-25,2609,陽明,10516100,10.52
2026-08-25,2301,光寶科,9697030,9.69
2026-08-25,2317,鴻海,8754950,8.75
2026-08-25,2308,台達電,7157740,7.16
2026-08-25,3034,聯詠,5795790,5.8
2026-08-25,2891,中信金,5441660,5.45
2026-08-25,2454,聯發科,3490950,3.49
2026-08-25,3231,緯創,3238370,3.24
2026-08-25,2379,瑞昱,2083440,2.08
2026-08-24,2408,南亞科,14360600,14.37
2026-08-24,3711,日月光投控,13983690,13.99
2026-08-24,2882,國泰金,12814660,12.82
2026-08-24,3034,聯詠,11771469,11.78
2026-08-24,2317,鴻海,10380760,10.39
2026-08-24,2301,光寶科,10076580,10.08
2026-08-24,2603,長榮,9326030,9.33
2026-08-24,3231,緯創,4918750,4.91
2026-08-24,2454,聯發科,4312160,4.31
2026-08-24,2327,國巨,2910960,2.91
2026-08-24,2891,中信金,2623450,2.63
2026-08-24,2308,台達電,2482340,2.48
2026-08-23,2308,台達電,29402100,29.41
2026-08-23,2357,華碩,14575140,14.58
2026-08-23,2881,富邦金,12267670,12.26
2026-08-23,2408,南亞科,11980810,11.99
2026-08-23,2330,台積電,9986800,9.98
2026-08-23,3231,緯創,8206340,8.21
2026-08-23,3711,日月光投控,7169170,7.17
2026-08-23,2382,廣達,6392420,6.4
2026-08-22,2603,長榮,16157870,16.16
2026-08-22,2317,鴻海,14474840,14.47
2026-08-22,3711,日月光投控,13039980,13.03
2026-08-22,2379,瑞昱,12831750,12.83
2026-08-22,2609,陽明,11995020,11.99
2026-08-22,2327,國巨,9520500,9.53
2026-08-22,2308,台達電,9227490,9.22
2026-08-22,3034,聯詠,5031890,5.03
2026-08-22,2330,台積電,4290080,4.3
2026-08-22,2408,南亞科,3446710,3.44
2026-08-21,2308,台達電,14869759,14.86
2026-08-21,2317,鴻海,14342380,14.34
2026-08-21,2454,聯發科,12910290,12.91
2026-08-21,2327,國巨,11211890,11.21
2026-08-21,2408,南亞科,10203210,10.2
